loan_id,origination_date,borrower_id,loan_amount,interest_rate,loan_term_months,credit_score,debt_to_income_ratio,loan_purpose,loan_status,annual_income,state
591,2016-06-24,175,29618.12,13.4,36,682.0,0.2977,Auto,Current,556799.97,FL
592,2017-02-26,808,23980.65,9.69,36,686.0,0.3426,Education,Current,110343.58,NC
593,2017-11-28,2334,30997.62,13.21,84,619.0,0.4403,Auto,Paid Off,37801.27,NY
594,2017-01-12,1500,36968.99,8.2,84,715.0,0.4395,Home Improvement,Current,37826.11,MD
595,2024-04-02,1955,49889.0,5.3,60,828.0,0.438,Personal,Paid Off,31727.45,MA
596,2019-09-20,857,91688.68,17.97,60,580.0,0.3617,Business,Current,520600.94,MI
597,2021-06-30,129,16080.83,15.08,84,610.0,0.284,Home Improvement,Current,30399.15,MA
598,2021-09-03,341,35158.75,8.96,60,707.0,0.1926,Education,Current,37740.03,VA
599,2023-07-28,1726,32732.64,11.79,36,698.0,0.3591,Auto,Paid Off,374565.13,PA
600,2017-12-17,1051,58092.78,11.07,60,692.0,0.3861,Auto,Current,587652.46,AZ
601,2021-12-07,1037,60339.93,6.83,84,709.0,0.3236,Home Improvement,Paid Off,454511.83,NY
602,2023-02-17,308,387185.83,9.2,36,678.0,0.4011,Business,Current,24213.97,VA
603,2021-09-20,384,46852.51,12.96,120,586.0,0.3383,Auto,Paid Off,44855.88,TX
604,2021-07-31,1309,63273.54,15.89,36,594.0,0.2885,Home Improvement,Current,37492.69,PA
605,2020-11-06,2339,14351.75,17.48,84,631.0,0.4817,Personal,Default,33984.02,WA
606,2016-08-19,788,13278.19,19.62,84,621.0,0.2081,Auto,Current,27175.6,PA
607,2018-02-02,178,62728.02,16.35,36,507.0,0.3462,Home Improvement,Paid Off,61064.79,FL
608,2017-07-10,427,3379.87,6.96,84,705.0,0.2262,Personal,Current,149587.77,NY
609,2024-01-15,1781,147330.82,11.78,36,693.0,0.3274,Business,Current,34963.26,CT
610,2019-05-22,2331,7689.36,5.55,36,756.0,0.392,Personal,Paid Off,190372.15,MD
611,2022-06-10,2426,78299.48,11.57,120,694.0,0.2238,Home Improvement,Current,38360.1,MN
612,2023-06-16,2242,33440.13,12.42,120,570.0,0.5264,Personal,Default,37977.41,PA
613,2017-06-28,185,37457.85,13.17,60,,0.2605,Home Improvement,Delinquent,262642.54,NJ
614,2024-03-30,1808,31704.91,13.39,84,600.0,0.3666,Business,Current,37883.06,MD
615,2017-12-31,2041,31828.94,18.51,36,591.0,0.5419,Personal,Current,492419.03,GA
616,2020-07-11,1978,53125.11,10.59,36,650.0,0.3474,Business,Current,503296.97,NJ
617,2017-07-14,2181,37693.04,7.33,84,728.0,0.4105,Auto,Current,216796.59,VA
618,2022-12-16,1038,12359.49,18.35,36,583.0,0.1972,Auto,Default,42387.99,GA
619,2017-12-20,803,420322.59,20.73,84,633.0,0.4609,Business,Paid Off,177803.39,MA
620,2018-12-16,652,139237.0,16.05,84,538.0,0.2352,Business,Paid Off,300249.93,FL
621,2021-06-24,490,39924.78,6.51,36,740.0,0.2855,Personal,Paid Off,30629.47,AZ
622,2021-04-13,2376,20213.31,14.42,60,609.0,0.2261,Auto,Current,28339.42,AZ
623,2024-03-31,987,318771.57,6.44,36,781.0,0.1478,Business,Paid Off,36051.38,DE
624,2022-09-18,2278,25473.41,9.89,84,693.0,0.3691,Auto,Current,47635.69,NY
625,2019-04-14,1928,15162.76,5.93,84,847.0,0.0848,Home Improvement,Paid Off,44601.46,GA
626,2018-04-02,1691,62131.21,10.53,120,675.0,0.1517,Home Improvement,Paid Off,34676.07,CT
627,2021-02-09,1524,75871.74,13.45,60,512.0,0.2581,Home Improvement,Paid Off,198135.14,PA
628,2016-06-23,1092,24159.76,13.09,84,699.0,0.4531,Auto,Current,41472.35,TX
629,2022-08-10,119,12274.03,5.53,36,751.0,0.4367,Home Improvement,Current,35834.29,OH
630,2021-01-18,2191,33095.11,20.68,60,633.0,0.478,Home Improvement,Paid Off,131091.58,PA
631,2017-05-03,282,40008.35,17.68,60,585.0,0.5212,Auto,Delinquent,30196.64,DE
632,2017-08-29,2208,51312.11,15.35,60,606.0,0.4584,Home Improvement,Default,47209.2,NC
633,2019-06-09,2371,19998.71,14.9,84,613.0,0.2061,Home Improvement,Current,28275.69,VA
634,2021-11-20,2284,414922.27,6.94,60,729.0,0.5289,Business,Delinquent,36334.7,NY
635,2020-06-27,912,55547.74,5.79,84,759.0,0.2626,Auto,Current,24975.87,NJ
636,2021-10-12,1362,35787.14,9.95,84,677.0,0.2766,Personal,Paid Off,43747.85,FL
637,2020-07-08,1152,39314.11,17.44,60,625.0,0.5481,Home Improvement,Delinquent,32758.17,MD
638,2021-03-29,367,19833.33,15.99,36,593.0,0.3241,Auto,Paid Off,27010.44,Pennsylvania
639,2015-10-01,2073,81363.76,7.49,120,709.0,0.5306,Education,Delinquent,27819.92,NY
640,2019-08-25,556,47486.86,13.48,36,646.0,0.1372,Personal,Default,44470.21,PA
641,2017-06-17,1282,57517.95,6.57,36,745.0,0.5436,Auto,Current,309327.87,NJ
642,2018-02-26,1996,12335.03,12.54,60,652.0,0.1656,Personal,Current,38593.01,MD
643,2018-12-20,787,64715.12,5.5,36,839.0,0.1454,Home Improvement,Paid Off,35344.46,NY
644,2023-05-30,1540,67944.93,7.31,60,804.0,0.4473,Home Improvement,Paid Off,62978.64,PA
645,2017-03-24,204,47171.1,7.56,60,726.0,0.1486,Home Improvement,Paid Off,31720.1,PA
646,2024-11-14,2347,36914.78,19.73,120,582.0,0.3925,Auto,Current,72473.68,CA
647,2025-09-23,121,479703.12,20.95,84,580.0,0.3855,Business,Default,39825.19,TX
648,2023-10-03,284,171573.82,13.33,36,695.0,0.5381,Business,Paid Off,58228.72,CA
649,2016-12-12,576,34090.94,13.12,60,689.0,0.3834,Home Improvement,Current,61662.02,NY
650,2020-03-31,1339,46916.48,14.69,120,632.0,0.2052,Personal,Paid Off,568654.81,NY
651,2018-11-06,1564,42193.68,9.34,120,736.0,0.3433,Auto,Current,37422.4,MN
652,2020-08-05,276,55514.9,19.44,60,623.0,0.1446,Home Improvement,Paid Off,315847.26,FL
653,2022-07-12,1024,4744.85,6.25,60,777.0,0.5046,Personal,Current,32626.65,GA
654,2017-11-29,892,35850.81,9.71,60,666.0,0.1865,Home Improvement,Current,53578.32,MI
655,2016-05-14,361,41163.69,13.17,36,567.0,0.1777,Personal,Current,45887.15,TX
656,2021-04-17,874,215350.48,17.41,36,622.0,0.3084,Business,Current,30177.62,VA
657,2016-10-09,810,35638.74,11.34,84,,0.3423,Home Improvement,Delinquent,30691.55,NY
658,2023-12-18,950,70131.47,16.91,84,502.0,0.2068,Home Improvement,Current,37929.15,NY
659,2015-11-09,630,20132.69,18.24,84,640.0,0.5412,Home Improvement,Paid Off,181643.41,NY
660,2025-03-05,1585,21691.9,13.6,120,601.0,0.3975,Education,Current,302474.46,PA
661,2021-06-10,841,36672.89,8.79,60,715.0,0.1102,Personal,Delinquent,94065.23,FL
662,2022-12-19,287,75856.81,9.83,60,736.0,0.3219,Business,Paid Off,109873.08,PA
663,2022-03-14,1770,21278.29,9.89,36,720.0,0.3112,Auto,Current,37988.15,IL
664,2022-10-01,2003,42996.65,20.23,36,640.0,0.2214,Home Improvement,Default,438361.55,VA
665,2019-07-04,941,389376.61,6.68,84,755.0,0.4951,Business,Current,32540.53,PA
666,2022-07-09,424,40909.44,10.06,36,699.0,0.3248,Home Improvement,Current,178609.87,PA
667,2019-05-10,1858,42659.08,20.32,36,594.0,0.2336,Home Improvement,Paid Off,351168.93,GA
668,2017-01-04,1294,39531.68,15.91,36,638.0,0.3157,Auto,Current,32909.2,NY
669,2023-02-26,1630,14474.64,6.87,36,839.0,0.1042,Home Improvement,Current,26095.08,PA
670,2015-12-23,1450,60283.49,16.32,36,608.0,0.2048,Home Improvement,Delinquent,24130.57,PA
671,2022-08-06,66,16054.62,12.97,84,686.0,0.235,Personal,Current,35603.44,MA
672,2018-01-06,1690,3165.58,14.32,36,593.0,0.3545,Personal,Current,46682.46,VA
673,2025-04-07,1531,22832.35,5.07,36,829.0,0.4026,Auto,Current,36215.72,NC
674,2015-12-08,913,21455.56,14.75,36,587.0,0.5093,Auto,Current,38440.79,NY
675,2023-06-26,765,54555.61,8.7,36,711.0,0.233,Auto,Current,206061.34,CT
676,2022-07-09,231,27024.19,15.08,60,608.0,0.4445,Personal,Default,421595.12,TX
677,2019-08-08,2272,72188.56,7.57,60,700.0,0.3914,Education,Current,37767.14,PA
678,2019-07-11,756,55282.77,20.07,36,619.0,0.3863,Home Improvement,Default,44916.7,PA
679,2021-09-22,2188,20934.04,6.06,84,753.0,0.3931,Auto,Paid Off,55109.0,WA
680,2019-08-17,942,53912.49,4.99,120,771.0,0.4517,Auto,Current,26969.4,CO
681,2021-09-15,1357,27370.63,7.42,36,756.0,0.2548,Auto,Paid Off,498914.12,AZ
682,2019-08-26,2323,74074.61,10.69,60,677.0,0.4565,Home Improvement,Current,236578.06,NY
683,2022-04-12,1175,13032.86,11.14,60,655.0,0.3161,Education,Current,499124.71,MD
684,2023-03-28,1106,9983.01,5.51,36,818.0,0.344,Auto,Current,118999.64,CA
685,2018-03-31,375,55722.18,5.72,60,784.0,0.081,Home Improvement,Paid Off,120946.49,CA
686,2021-03-12,802,20974.82,8.99,60,703.0,0.4967,Home Improvement,Current,26617.46,NJ
687,2020-04-24,2121,59028.76,7.58,84,705.0,0.2385,Auto,Current,507410.93,CT
688,2024-04-03,1965,25222.83,13.02,36,695.0,0.4794,Personal,Paid Off,42254.71,NJ
689,2024-11-18,298,81383.61,19.8,36,648.0,0.1419,Business,Current,113121.63,NY
690,2023-02-27,599,41410.87,17.83,60,525.0,0.2659,Auto,Default,611563.5,IL
691,2024-12-16,2510,17393.28,9.42,84,704.0,0.4318,Personal,Current,30842.11,PA
692,2015-05-24,100,218800.11,17.52,120,623.0,0.3863,Business,Paid Off,29167.08,FL
693,2018-01-11,1473,34799.36,17.14,36,638.0,0.2027,Personal,Paid Off,597518.8,OH
694,2019-03-26,901,79478.84,18.87,36,590.0,0.2001,Business,Current,39612.3,PA
695,2017-07-15,1273,57120.26,5.18,84,834.0,0.3628,Home Improvement,Current,32855.06,NY
696,2019-05-24,530,24449.57,13.18,36,687.0,0.181,Personal,Current,26759.72,PA
697,2025-01-16,1272,18855.49,11.91,60,651.0,0.2747,Home Improvement,Current,24242.11,PA
698,2022-03-01,1099,45356.0,17.77,60,607.0,0.1854,Personal,Current,442586.28,PA
699,2019-09-29,1243,77196.12,6.94,84,721.0,0.2994,Home Improvement,Paid Off,42572.27,CO
700,2023-03-17,637,81845.3,16.24,36,603.0,0.2528,Education,Current,182359.3,NY
701,2022-04-23,2219,55304.5,19.78,60,616.0,0.1305,Auto,Current,28670.96,TX
702,2021-09-01,186,12254.21,20.65,36,583.0,0.5322,Personal,Delinquent,568161.06,NC
703,2020-11-22,1428,16409.63,11.82,84,673.0,0.2469,Auto,Paid Off,26852.89,PA
704,2018-09-12,1001,13800.22,12.24,120,670.0,0.4949,Auto,Current,438207.26,NY
705,2020-09-19,1411,22513.31,17.11,84,639.0,0.4558,Personal,Current,33110.33,NJ
706,2023-02-04,974,350521.46,12.09,60,644.0,0.1635,Business,Current,29539.21,PA
707,2021-03-11,1827,15836.69,9.3,120,684.0,0.1089,Home Improvement,Current,324032.87,DE
708,2020-10-15,512,10785.91,8.95,120,723.0,0.1509,Auto,Current,109707.35,CA
709,2018-04-07,1873,34177.83,5.95,84,763.0,0.5409,Auto,Current,34005.72,CT
710,2020-06-06,1868,26715.86,16.3,84,645.0,0.3197,Education,Default,103001.54,PA
711,2020-03-04,1548,53298.72,4.88,36,795.0,0.2882,Home Improvement,Current,50990.98,CA
712,2020-12-18,2104,99447.18,19.91,60,629.0,0.2943,Business,Current,37466.55,PA
713,2022-08-23,608,38872.6,15.65,36,614.0,0.1269,Auto,Current,47678.95,DE
714,2021-03-24,2306,13816.91,18.25,84,607.0,0.2533,Personal,Current,24383.66,PA
715,2020-02-05,868,37494.41,20.72,84,630.0,0.1038,Auto,Delinquent,601315.21,NY
716,2024-07-12,152,15286.12,19.5,120,603.0,0.2331,Home Improvement,Current,34153.07,DE
717,2024-10-23,1600,17468.62,6.94,36,700.0,0.3768,Personal,Current,45020.28,PA
718,2019-01-08,1290,12455.9,14.36,36,605.0,0.1236,Personal,Delinquent,36149.84,NY
719,2018-10-19,1296,24104.45,13.38,60,595.0,0.5364,Personal,Current,26972.05,WA
720,2016-07-01,2130,39344.67,6.62,84,730.0,0.2434,Personal,Current,24816.53,PA
721,2021-07-29,2298,13923.23,7.94,60,729.0,0.5237,Auto,Paid Off,536442.5,PA
722,2021-10-06,24,7555.98,17.4,60,601.0,0.0902,Education,Current,36407.88,NJ
723,2021-01-13,159,15119.27,6.69,120,729.0,0.24,Auto,Current,423183.16,MD
724,2018-04-14,332,269076.27,18.84,36,577.0,0.2558,Business,Delinquent,38980.82,NY
725,2022-12-18,1035,239329.92,12.23,84,677.0,0.1276,Business,Current,28410.87,PA
726,2019-11-20,2412,8050.9,14.42,84,570.0,0.1852,Auto,Current,472231.83,NJ
727,2021-07-06,1764,41460.4,12.74,36,670.0,0.4932,Auto,Current,36493.37,WA
728,2016-11-25,2033,34238.0,13.39,120,696.0,0.3372,Home Improvement,Current,120070.71,TX
729,2024-01-08,2475,51639.98,20.21,36,646.0,0.1033,Home Improvement,Paid Off,24754.46,PA
730,2022-07-29,2088,40175.02,12.23,120,,0.1212,Auto,Delinquent,536049.36,OH
731,2024-10-20,643,45907.77,13.33,60,585.0,0.2037,Auto,Current,31586.7,CT
732,2021-02-23,1727,27404.33,14.18,60,560.0,0.1681,Auto,Delinquent,28660.56,MN
733,2017-06-23,312,18217.83,20.5,36,582.0,0.1672,Auto,Current,29988.58,OH
734,2021-03-05,352,14206.19,9.51,60,679.0,0.1673,Personal,Current,511573.42,IL
735,2019-07-22,549,17254.21,5.88,60,833.0,0.3444,Personal,Current,256288.24,VA
736,2025-02-19,2320,10724.66,9.37,60,725.0,0.488,Home Improvement,Paid Off,59458.2,OH
737,2018-07-22,1560,59385.97,7.89,84,736.0,0.3036,Auto,Paid Off,497744.52,TX
738,2020-03-15,1160,10411.49,9.69,60,735.0,0.279,Home Improvement,Current,260014.73,California
739,2021-07-07,307,64327.96,5.28,84,750.0,0.4138,Home Improvement,Current,44380.49,PA
740,2024-05-27,288,20109.62,7.38,60,782.0,0.1763,Personal,Current,24073.11,PA
741,2019-07-03,695,66484.16,5.48,60,813.0,0.4815,Home Improvement,Paid Off,38516.33,NJ
742,2019-12-01,1559,20689.86,6.21,84,756.0,0.3957,Auto,Current,33506.74,Florida
743,2019-12-09,631,33707.1,12.55,60,691.0,0.4052,Auto,Paid Off,34250.03,NJ
744,2022-01-06,2061,39871.73,12.95,120,662.0,0.1024,Auto,Paid Off,39409.53,NJ
745,2017-08-16,1862,44578.61,11.85,60,687.0,0.2112,Personal,Current,26381.54,PA
746,2018-10-21,2443,75753.73,16.7,36,609.0,0.1774,Education,Current,430989.75,TX
747,2022-11-18,1436,172097.33,4.88,84,824.0,0.3375,Business,Delinquent,478128.97,DE
748,2021-08-23,1477,34235.41,17.49,84,618.0,0.0807,Home Improvement,Current,46855.88,TX
749,2019-12-19,791,4653.93,5.17,36,757.0,0.0991,Personal,Current,31940.66,NY
750,2024-03-30,1633,30533.38,9.93,60,729.0,0.5414,Personal,Current,194939.85,VA
751,2023-12-19,1508,45209.92,17.5,84,589.0,0.4562,Home Improvement,Paid Off,125335.96,CA
752,2024-07-28,1611,239979.82,20.87,84,581.0,0.3693,Business,Current,43126.67,PA
753,2017-12-07,1656,213385.39,7.46,120,741.0,0.1164,Business,Current,30407.6,IL
754,2016-04-13,1562,20362.46,19.21,60,582.0,0.467,Auto,Paid Off,39844.38,PA
755,2017-09-01,1187,395077.92,7.07,36,707.0,0.1003,Business,Current,35891.35,VA
756,2021-09-07,14,154295.29,8.51,84,705.0,0.2509,Business,Current,440932.2,PA
757,2021-06-21,1394,31020.18,11.87,120,673.0,0.1396,Personal,Current,541391.36,NC
758,2023-01-30,1449,36503.68,19.51,84,591.0,0.1183,Personal,Current,36754.15,TX
759,2020-10-19,515,18697.2,20.67,84,604.0,0.2056,Auto,Current,37459.49,CO
760,2020-11-11,410,21588.17,11.91,60,663.0,0.2958,Personal,Current,37696.55,NJ
761,2020-10-09,2477,35109.14,7.63,120,713.0,0.4741,Personal,Delinquent,435688.36,OH
762,2016-06-20,314,347724.5,10.88,84,678.0,0.4459,Business,Paid Off,30718.89,FL
763,2023-04-10,1921,33271.76,15.74,120,646.0,0.5116,Education,Delinquent,452922.92,CA
764,2018-03-26,880,5302.76,18.24,120,620.0,0.3528,Personal,Current,41477.66,CA
765,2019-06-23,1903,36127.2,12.54,120,652.0,0.4403,Personal,Current,33480.11,PA
766,2019-06-12,1925,20233.7,19.18,84,607.0,0.2501,Home Improvement,Current,35239.81,DE
767,2022-09-27,1287,399683.65,9.37,60,669.0,0.3613,Business,Paid Off,489411.99,NJ
768,2025-01-27,383,36168.58,15.18,60,608.0,0.2369,Auto,Current,30193.04,CA
769,2017-02-06,1129,13005.43,9.52,84,717.0,0.1424,Auto,Delinquent,42593.17,IL
770,2023-01-12,1668,15286.19,4.56,36,776.0,0.0889,Home Improvement,Current,579403.48,NY
771,2018-11-08,773,20666.52,13.52,60,615.0,0.1647,Auto,Current,409016.45,MA
772,2020-05-02,2404,57198.75,10.94,60,653.0,0.3697,Education,Current,403373.86,CT
773,2021-03-16,2391,87777.17,20.21,36,569.0,0.2817,Business,Current,72569.63,MA
774,2024-03-14,1074,16971.2,12.34,60,654.0,0.53,Auto,Current,570505.96,NJ
775,2019-01-27,264,4326.47,16.18,60,644.0,0.4568,Personal,Delinquent,409514.76,Illinois
776,2018-04-11,946,62523.98,12.51,120,688.0,0.1813,Home Improvement,Paid Off,26886.55,CO
777,2023-02-19,2182,13206.69,15.62,120,608.0,0.5047,Auto,Paid Off,34079.61,PA
778,2015-04-13,1033,27119.7,12.1,120,503.0,0.3168,Home Improvement,Default,41058.69,PA
779,2021-08-29,416,27515.44,9.02,60,722.0,0.1711,Auto,Current,49114.6,FL
780,2018-03-06,991,13228.6,13.29,84,618.0,0.2267,Auto,Current,38913.4,DE
781,2020-12-18,359,31735.31,17.06,120,593.0,0.4877,Home Improvement,Current,38672.12,NJ
782,2022-04-26,1208,15742.66,11.59,36,688.0,0.3749,Auto,Current,30242.81,OH
783,2022-03-14,2156,16897.8,6.61,84,756.0,0.3052,Home Improvement,Current,25580.33,NJ
784,2017-10-13,9,27700.03,8.73,36,739.0,0.5015,Personal,Current,394543.49,VA
785,2016-09-01,2189,36439.06,8.01,60,723.0,0.4182,Auto,Current,162371.92,OH
786,2020-03-21,317,39357.89,9.45,36,720.0,0.138,Education,Current,270638.35,TX
787,2016-01-29,305,137121.81,15.66,36,638.0,0.0989,Business,Paid Off,108681.69,CO
788,2019-07-12,428,3513.26,19.78,84,591.0,0.1161,Personal,Paid Off,496583.79,AZ
789,2020-10-21,106,48512.13,17.8,60,617.0,0.3598,Home Improvement,Default,39345.95,NJ
790,2019-10-15,1534,118568.76,14.71,36,605.0,0.152,Business,Current,45429.96,NY
791,2022-08-24,122,61184.29,11.03,36,674.0,0.498,Home Improvement,Delinquent,37051.33,CA
792,2020-06-24,1888,71703.87,11.2,60,689.0,0.1458,Home Improvement,Current,47941.44,FL
793,2023-11-13,1595,42950.16,7.03,120,816.0,0.2687,Auto,Delinquent,243902.22,MI
794,2018-03-26,2013,35194.54,18.35,60,640.0,0.3562,Auto,Current,32233.46,CA
795,2018-11-05,1358,45630.57,5.45,36,813.0,0.2151,Auto,Current,56684.79,FL
796,2017-09-27,1855,327658.08,11.96,60,679.0,0.4577,Business,Current,586552.45,PA
797,2025-04-03,1267,26115.04,9.24,36,654.0,0.1745,Education,Paid Off,43004.03,PA
798,2018-02-17,116,42372.61,9.72,36,731.0,0.2962,Personal,Current,553825.72,FL
799,2020-08-15,1455,20353.07,13.58,36,642.0,0.2128,Auto,Current,348805.98,MD
800,2017-10-05,745,49573.82,5.25,36,779.0,0.2901,Home Improvement,Current,53436.37,VA
801,2017-04-10,1601,34043.09,10.8,84,665.0,0.5342,Personal,Delinquent,326551.62,CA
802,2017-05-29,2358,6125.78,5.98,60,804.0,0.1528,Personal,Current,38577.95,NJ
803,2020-10-14,966,75688.81,4.93,60,779.0,0.2132,Home Improvement,Paid Off,33061.06,GA
804,2017-03-22,1284,50493.99,8.97,60,719.0,0.1189,Education,Delinquent,646244.97,PA
805,2020-11-20,673,141628.18,4.68,60,750.0,0.1393,Business,Current,241004.67,NY
806,2017-05-20,2330,20258.03,15.9,84,591.0,0.2125,Personal,Current,487985.6,AZ
807,2023-09-06,2321,2606.26,20.55,84,603.0,0.4559,Personal,Current,570045.21,MA
808,2024-05-29,1685,46952.48,19.3,60,500.0,0.1644,Auto,Default,98632.83,PA
809,2021-04-07,310,51475.77,10.2,84,663.0,0.2797,Home Improvement,Current,269222.55,MA
810,2021-11-12,592,170471.86,11.57,84,682.0,0.2452,Business,Current,37636.16,IL
811,2018-06-13,463,33276.78,17.6,36,610.0,0.4823,Auto,Delinquent,396801.63,MA
812,2024-07-29,2291,43749.99,10.38,60,677.0,0.1625,Home Improvement,Current,31802.12,MN
813,2020-10-26,1507,4216.3,14.08,84,615.0,0.1746,Personal,Current,30408.66,FL
814,2022-07-10,1289,35989.01,8.51,84,707.0,0.1206,Business,Current,186237.58,DE
815,2024-01-10,1934,14728.88,11.64,60,687.0,0.2745,Auto,Current,30256.32,FL
816,2017-10-16,553,21362.92,14.49,36,646.0,0.2472,Auto,Current,226097.42,PA
817,2021-03-02,88,36429.03,12.84,120,699.0,0.3198,Personal,Current,34008.31,PA
818,2017-08-20,691,395758.08,6.72,60,845.0,0.2767,Business,Current,341673.35,MA
819,2017-11-14,1738,58259.23,8.85,60,709.0,0.1484,Auto,Current,59268.76,PA
820,2019-10-04,1969,73932.73,12.89,84,688.0,0.2932,Home Improvement,Paid Off,38625.25,FL
821,2019-06-24,2437,241957.21,19.12,84,611.0,0.2359,Business,Paid Off,27417.87,WA
822,2016-04-30,1660,22817.68,8.91,60,720.0,0.1504,Personal,Paid Off,44534.82,CA
823,2018-09-08,1196,21987.7,13.57,60,560.0,0.2947,Auto,Delinquent,37032.41,PA
824,2021-12-06,801,39692.47,16.22,60,643.0,0.1453,Education,Current,32166.95,PA
825,2020-02-01,2084,49302.41,12.12,60,666.0,0.1054,Auto,Paid Off,536113.88,CO
826,2021-02-15,301,402366.53,10.5,120,662.0,0.1937,Business,Current,30855.77,New York
827,2020-02-20,2244,68772.73,9.89,36,694.0,0.3757,Education,Paid Off,32689.53,VA
828,2024-02-22,544,68656.49,12.72,84,697.0,0.3023,Home Improvement,Current,26859.21,PA
829,2021-06-04,1809,32444.87,9.39,120,719.0,0.107,Home Improvement,Current,31033.74,OH
830,2020-12-27,2239,17375.77,9.44,120,678.0,0.2937,Auto,Current,527990.16,DE
831,2017-12-19,495,42114.45,13.99,84,589.0,0.2276,Home Improvement,Default,420017.1,NJ
832,2018-10-02,366,35512.49,6.57,120,737.0,0.0836,Auto,Current,33681.02,OH
833,2017-10-01,2281,15664.89,8.18,120,706.0,0.498,Home Improvement,Current,597496.42,PA
834,2018-06-24,1593,7286.2,10.25,60,664.0,0.2474,Personal,Paid Off,27052.37,PA
835,2020-11-02,274,48616.2,10.12,36,692.0,0.4317,Auto,Current,38483.34,FL
836,2020-10-23,789,38166.79,13.04,84,697.0,0.4757,Personal,Paid Off,183033.19,FL
837,2017-06-15,72,53555.1,8.88,60,709.0,0.402,Home Improvement,Current,59215.59,WA
838,2019-07-22,2134,65898.33,9.23,60,655.0,0.2852,Home Improvement,Current,33474.57,NJ
839,2019-07-11,1861,16588.75,13.44,120,675.0,0.3091,Personal,Current,188900.84,PA
840,2016-08-15,64,14458.0,15.81,60,597.0,0.2803,Personal,Default,547383.13,PA
841,2016-05-16,395,197600.1,4.8,60,752.0,0.0813,Business,Current,289542.66,VA
842,2023-12-13,2282,31064.38,7.13,60,707.0,0.2973,Personal,Current,75046.58,Pennsylvania
843,2023-01-09,344,8804.87,14.64,60,644.0,0.1157,Personal,Current,261304.57,DE
844,2018-04-11,1414,28562.25,16.28,84,592.0,0.1134,Auto,Current,632594.97,OH
845,2018-12-24,1420,33690.21,5.26,36,807.0,0.1636,Home Improvement,Paid Off,175781.15,PA
846,2017-12-15,501,41489.72,17.7,36,626.0,0.408,Personal,Current,29783.34,TX
847,2018-07-26,1718,52002.79,16.85,36,646.0,0.1229,Home Improvement,Paid Off,25437.0,CO
848,2019-02-12,977,31583.02,13.72,60,599.0,0.26,Auto,Current,352293.86,CO
849,2023-06-23,678,33922.85,6.96,36,816.0,0.4887,Auto,Current,26705.71,DE
850,2016-11-29,1058,13343.71,13.42,60,591.0,0.3614,Personal,Paid Off,26230.23,CA
851,2023-10-23,1937,236919.93,10.09,60,698.0,0.4608,Business,Paid Off,26299.34,NJ
852,2016-08-19,2124,350068.78,5.54,60,761.0,0.5368,Business,Paid Off,53275.46,CT
853,2017-10-16,1570,80256.28,7.63,60,709.0,0.2515,Business,Current,39894.94,MD
854,2019-09-19,273,76748.63,4.72,84,818.0,0.454,Education,Paid Off,27243.74,NJ
855,2021-06-01,1171,45071.81,6.67,60,724.0,0.3499,Home Improvement,Current,37922.71,PA
856,2024-08-08,206,29594.23,14.24,84,619.0,0.1879,Auto,Paid Off,460591.48,WA
857,2022-04-18,734,15351.05,9.23,120,,0.4072,Auto,Current,56640.82,MN
858,2024-06-19,153,227187.1,9.43,60,654.0,0.1887,Business,Paid Off,318675.9,Pennsylvania
859,2018-07-27,890,38402.02,6.6,60,735.0,0.3759,Auto,Current,34286.0,NY
860,2019-09-28,558,21238.02,18.38,60,597.0,0.2542,Personal,Paid Off,407852.94,New Jersey
861,2024-05-19,378,88874.21,5.6,36,814.0,0.329,Business,Current,193263.04,TX
862,2024-01-15,1457,215819.38,10.6,36,651.0,0.425,Business,Default,385239.86,AZ
863,2021-06-18,536,41800.69,16.81,36,634.0,0.4094,Personal,Current,532345.71,MA
864,2017-10-20,1232,463741.64,11.24,60,698.0,0.5351,Business,Current,344215.08,MA
865,2024-07-10,1042,40843.35,19.24,60,639.0,0.4893,Home Improvement,Paid Off,34155.24,PA
866,2016-07-10,1134,19375.45,7.37,36,756.0,0.2767,Auto,Current,116973.64,MA
867,2020-02-04,199,3212.45,14.4,60,589.0,0.3023,Personal,Paid Off,25832.9,VA
868,2015-11-11,562,19445.91,9.99,60,725.0,0.1064,Personal,Current,49792.31,CA
869,2022-11-29,686,123549.78,6.68,36,736.0,0.2879,Business,Current,49461.2,DE
870,2023-04-26,1248,13119.17,13.37,60,636.0,0.2195,Auto,Current,26809.47,MI
871,2018-08-18,591,56724.71,20.06,60,593.0,0.1483,Education,Paid Off,120704.36,NJ
872,2020-02-10,520,52307.77,9.36,60,726.0,0.1309,Auto,Current,26743.99,CA
873,2021-04-09,309,24935.71,8.86,36,738.0,0.3282,Personal,Paid Off,44176.98,FL
874,2021-11-14,605,22897.77,20.52,84,632.0,0.0951,Auto,Paid Off,297965.87,PA
875,2022-12-04,2177,49652.14,15.54,60,587.0,0.2076,Personal,Current,150774.29,MA
876,2020-11-18,933,9961.92,6.75,36,708.0,0.2661,Personal,Paid Off,27673.27,NY
877,2016-06-26,60,8709.91,17.34,60,639.0,0.2046,Personal,Delinquent,565771.66,NJ
878,2019-03-15,584,43744.31,13.41,60,595.0,0.4324,Auto,Paid Off,49108.09,TX
879,2020-11-14,908,46526.21,12.66,84,672.0,0.4485,Personal,Paid Off,150989.67,NJ
